cybersecur -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:3 doc14:3
drop -> doc1:2 doc2:0 doc3:0 doc4:0 doc5:1 doc6:1 doc7:0 doc8:1 doc9:0 doc10:0 doc11:4 doc12:0 doc13:0 doc14:0
earn -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:2 doc14:2
edg -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:3 doc8:2 doc9:2 doc10:2 doc11:3 doc12:2 doc13:2 doc14:2
energi -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:6 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:16 doc13:2 doc14:2
enterpris -> doc1:2 doc2:2 doc3:2 doc4:4 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:3 doc14:3
execut -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:4 doc7:3 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:3 doc14:2
explain -> doc1:2 doc2:3 doc3:2 doc4:3 doc5:3 doc6:2 doc7:2 doc8:3 doc9:2 doc10:2 doc11:2 doc12:2 doc13:2 doc14:2
fall -> doc1:2 doc2:0 doc3:0 doc4:1 doc5:0 doc6:2 doc7:1 doc8:1 doc9:0 doc10:0 doc11:3 doc12:0 doc13:0 doc14:0
fell -> doc1:2 doc2:0 doc3:0 doc4:0 doc5:1 doc6:1 doc7:0 doc8:0 doc9:0 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
follow -> doc1:2 doc2:1 doc3:2 doc4:2 doc5:1 doc6:1 doc7:3 doc8:3 doc9:1 doc10:1 doc11:1 doc12:1 doc13:1 doc14:1
franchis -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:2 doc14:2
futur -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:4 doc8:2 doc9:2 doc10:2 doc11:2 doc12:3 doc13:3 doc14:2
gain -> doc1:2 doc2:0 doc3:0 doc4:0 doc5:2 doc6:0 doc7:0 doc8:0 doc9:0 doc10:0 doc11:0 doc12:1 doc13:0 doc14:0
game -> doc1:2 doc2:2 doc3:2 doc4:3 doc5:2 doc6:2 doc7:3 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:3 doc14:3
halftim -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:2 doc14:2
